Names,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma,SpectralContrast,Tonnetz,ZeroCrossingRate,RMSEnergy,LogMelFilterbank_1,LogMelFilterbank_2,LogMelFilterbank_3,LogMelFilterbank_4,LogMelFilterbank_5,LogMelFilterbank_6,LogMelFilterbank_7,LogMelFilterbank_8,LogMelFilterbank_9,LogMelFilterbank_10,LogMelFilterbank_11,LogMelFilterbank_12,LogMelFilterbank_13,LogMelFilterbank_14,LogMelFilterbank_15,LogMelFilterbank_16,LogMelFilterbank_17,LogMelFilterbank_18,LogMelFilterbank_19,LogMelFilterbank_20,LogMelFilterbank_21,LogMelFilterbank_22,LogMelFilterbank_23,LogMelFilterbank_24,LogMelFilterbank_25,LogMelFilterbank_26,LogMelFilterbank_27,LogMelFilterbank_28,LogMelFilterbank_29,LogMelFilterbank_30,RASTA-PLP
Arunanshu,-398.5155029296875,95.5506362915039,5.952596664428711,-5.154275417327881,5.881030559539795,-3.027373790740967,-7.761910438537598,-10.212844848632812,-14.51933479309082,-8.336978912353516,-1.6250077486038208,-6.408736705780029,-11.575360298156738,0.44713885,20.66087762414414,0.016988074162439845,0.11455689892691415,0.06751822,-24.12991714477539,-20.445348739624023,-19.119075775146484,-20.28563690185547,-24.737823486328125,-26.501304626464844,-27.133989334106445,-30.28546142578125,-33.02939987182617,-32.76420593261719,-30.551166534423828,-30.603769302368164,-33.04695510864258,-33.99577713012695,-37.17266082763672,-40.12222671508789,-39.74430847167969,-39.63807678222656,-42.32993698120117,-46.546939849853516,-48.50615310668945,-49.77445602416992,-50.95718002319336,-51.28806686401367,-51.29034423828125,-51.29248809814453,-51.29446029663086,-51.29620361328125,-51.29762268066406,-51.2985954284668,0.6421206568001941
Arunanshu,-317.8003234863281,171.61767578125,19.69701385498047,-20.370553970336914,-5.757510662078857,-5.96946382522583,-11.277127265930176,-18.35520362854004,-21.422365188598633,-12.447113990783691,-7.699834823608398,-13.91695499420166,-17.439960479736328,0.36407763,22.683295546170775,-0.003042039854305272,0.06825288210556844,0.13991502,-6.478618621826172,0.3543046712875366,3.596881866455078,2.9798085689544678,-4.210202217102051,-6.831043720245361,-7.19699239730835,-10.916203498840332,-15.239609718322754,-16.165462493896484,-15.635523796081543,-17.366792678833008,-20.27805519104004,-23.541080474853516,-30.006441116333008,-33.89872741699219,-35.778160095214844,-36.836814880371094,-39.981021881103516,-43.48529815673828,-46.04765319824219,-47.42738723754883,-48.540958404541016,-49.16394805908203,-49.203704833984375,-49.248992919921875,-49.2484130859375,-49.263484954833984,-49.27146911621094,-49.27438735961914,0.4969986979536933
Arunanshu,-324.5954895019531,157.51699829101562,22.63471031188965,-20.010984420776367,-9.555397987365723,-7.517560958862305,-12.459773063659668,-16.917850494384766,-19.326171875,-12.752930641174316,-5.933913230895996,-11.33416748046875,-17.358400344848633,0.35793895,22.321827844714857,-0.008610203541370027,0.06224622969837587,0.13616373,-9.198087692260742,-3.2127113342285156,-0.5119178295135498,0.22948482632637024,-5.347216606140137,-8.885566711425781,-9.383936882019043,-12.228853225708008,-16.636716842651367,-18.27397346496582,-18.375513076782227,-20.029129028320312,-22.934236526489258,-25.611242294311523,-32.69752502441406,-37.270198822021484,-36.25383758544922,-37.26311492919922,-41.704132080078125,-45.4598503112793,-47.26842498779297,-48.04594039916992,-48.755985260009766,-48.908695220947266,-49.02406692504883,-49.16020965576172,-49.273826599121094,-49.33570098876953,-49.4334831237793,-49.47849655151367,0.49936848987359606
Arunanshu,-320.5462646484375,156.66641235351562,17.49974250793457,-14.465985298156738,1.115923285484314,-3.0486979484558105,-9.033536911010742,-14.968829154968262,-23.260251998901367,-16.932891845703125,-5.1178388595581055,-8.48369312286377,-16.94705581665039,0.3683039,22.622869367071324,-0.014890078594345628,0.04876694823085847,0.11667389,-7.022579193115234,-1.1354796886444092,0.7757539749145508,0.3567450940608978,-6.624948978424072,-10.232420921325684,-11.077178955078125,-15.15324592590332,-18.753711700439453,-17.78864860534668,-15.162141799926758,-17.343557357788086,-22.134122848510742,-24.669719696044922,-30.71192741394043,-34.560516357421875,-33.288360595703125,-33.52536392211914,-39.14528274536133,-44.43318557739258,-46.79296112060547,-47.9345588684082,-49.1559944152832,-49.536231994628906,-49.582374572753906,-49.66495895385742,-49.6957893371582,-49.68752670288086,-49.702762603759766,-49.70450210571289,0.5403533503004383
Arunanshu,-359.1570129394531,136.3663787841797,15.336735725402832,-6.1774773597717285,-1.0021593570709229,-11.3222017288208,-10.241113662719727,-8.933396339416504,-14.96282958984375,-11.742692947387695,-7.0630035400390625,-11.105607032775879,-14.15758228302002,0.42567286,21.251299448944575,-0.004151024429655858,0.15291133446925753,0.10794115,-13.453765869140625,-8.680839538574219,-7.431577205657959,-8.112772941589355,-13.15212631225586,-16.131532669067383,-16.36493682861328,-19.04016876220703,-22.83445167541504,-24.168792724609375,-24.862361907958984,-26.247791290283203,-29.123249053955078,-30.416584014892578,-33.25437927246094,-36.24415588378906,-35.724647521972656,-35.92179489135742,-39.712318420410156,-43.809722900390625,-46.21339416503906,-47.8781623840332,-49.49983215332031,-50.12846374511719,-50.22610855102539,-50.33039855957031,-50.397056579589844,-50.4854621887207,-50.51803207397461,-50.57822799682617,0.5407435516433744
Arunanshu,-348.1379699707031,127.0299072265625,8.24105167388916,-4.861207008361816,0.49168166518211365,-10.773467063903809,-8.963471412658691,-11.259185791015625,-18.054611206054688,-9.921163558959961,-2.8858683109283447,-8.520745277404785,-13.285208702087402,0.39984727,21.50555225133307,0.003796808507794141,0.10912122969837587,0.10642991,-14.125335693359375,-9.543981552124023,-8.51339054107666,-8.784006118774414,-13.225132942199707,-15.742040634155273,-16.741737365722656,-19.94676971435547,-23.9686279296875,-24.318504333496094,-23.291200637817383,-24.139686584472656,-27.091352462768555,-28.27759552001953,-32.059959411621094,-35.2906379699707,-33.79612350463867,-33.82326889038086,-37.025779724121094,-40.87934112548828,-43.51946258544922,-45.520626068115234,-47.623477935791016,-48.399906158447266,-48.55690002441406,-48.711246490478516,-48.79264831542969,-48.82769012451172,-48.955318450927734,-48.97987365722656,0.5281473549162357
Arunanshu,-318.2057800292969,175.2021484375,21.89927101135254,-10.962419509887695,-1.0534743070602417,-12.161481857299805,-17.165010452270508,-16.271799087524414,-18.798812866210938,-13.133191108703613,-8.347678184509277,-14.093886375427246,-17.201892852783203,0.36251485,22.96254258399547,-0.01929002297906321,0.042867921621229696,0.15345007,-4.7121500968933105,1.4226436614990234,4.826666831970215,3.8854362964630127,-1.803323745727539,-6.128174304962158,-6.4667558670043945,-11.028949737548828,-15.881511688232422,-17.862321853637695,-18.2082462310791,-20.304988861083984,-22.772525787353516,-23.825279235839844,-28.519725799560547,-32.96011734008789,-33.053367614746094,-33.72831726074219,-39.36674499511719,-43.54612350463867,-46.737186431884766,-48.38594055175781,-49.88386917114258,-50.22684860229492,-50.31814956665039,-50.38618850708008,-50.54463195800781,-50.6539192199707,-50.72902297973633,-50.78504180908203,0.46797948036182874
Arunanshu,-322.2372131347656,145.44137573242188,13.168822288513184,-8.55740737915039,-1.633035659790039,-14.116458892822266,-13.702825546264648,-13.170827865600586,-18.594873428344727,-9.970649719238281,-3.8143973350524902,-12.61765193939209,-14.8716459274292,0.37413362,22.43484602060218,-0.010196297702211702,0.07144087151972157,0.13556032,-9.828584671020508,-5.315484046936035,-2.427090883255005,-1.7179266214370728,-6.893566131591797,-10.520079612731934,-10.240283966064453,-13.91939640045166,-19.436363220214844,-20.35901641845703,-19.979082107543945,-21.557832717895508,-24.715377807617188,-24.893402099609375,-29.197084426879883,-33.40379333496094,-32.76243591308594,-32.555789947509766,-35.41392517089844,-39.07135772705078,-44.263427734375,-46.01444625854492,-47.576637268066406,-47.96657943725586,-48.0886116027832,-48.28251266479492,-48.341190338134766,-48.392765045166016,-48.43364715576172,-48.46141052246094,0.472663213280274
Arunanshu,-291.603515625,174.1746368408203,10.765029907226562,-13.37360954284668,2.199735164642334,-14.595454216003418,-21.79029083251953,-15.486176490783691,-16.57770347595215,-15.355215072631836,-11.5880126953125,-14.66669750213623,-16.405607223510742,0.348625,23.12772182732359,-0.000895705571055629,0.043178337079466354,0.16994005,-4.92371129989624,1.9569724798202515,6.526836395263672,7.124225616455078,-0.09438923746347427,-4.230520248413086,-4.5069499015808105,-8.255364418029785,-12.905508995056152,-14.733480453491211,-15.54464340209961,-17.471765518188477,-19.832876205444336,-19.494131088256836,-23.173633575439453,-27.038532257080078,-27.693115234375,-28.664112091064453,-36.260711669921875,-40.51702117919922,-44.24476623535156,-45.921630859375,-47.4869384765625,-47.96947479248047,-48.09879684448242,-48.25364303588867,-48.498497009277344,-48.580623626708984,-48.68288803100586,-48.770198822021484,0.4437639580385906
Arunanshu,-284.8124084472656,142.4716033935547,3.6393539905548096,-14.75982666015625,1.9316318035125732,-8.047953605651855,-12.503128051757812,-13.655365943908691,-19.561588287353516,-14.66911792755127,-7.870255470275879,-11.8731107711792,-15.65243911743164,0.36443332,22.559079951167448,-0.008658796203314742,0.08259883446925755,0.14793406,-8.021103858947754,-2.4293911457061768,1.0197193622589111,0.44586649537086487,-5.523926734924316,-9.784259796142578,-9.474271774291992,-12.147921562194824,-15.320769309997559,-15.828112602233887,-14.35822868347168,-15.184459686279297,-19.440391540527344,-20.679828643798828,-23.82425308227539,-28.6722469329834,-27.63020896911621,-28.243684768676758,-34.48418426513672,-38.63901901245117,-41.53416442871094,-43.766822814941406,-45.81336975097656,-46.113651275634766,-46.25997543334961,-46.411624908447266,-46.52413558959961,-46.6176872253418,-46.668113708496094,-46.72524642944336,0.4679722922825128
