Command,Response,Label
Start the bike,The bike engine starts.,1
Stop the bike,The bike comes to a stop.,1
Accelerate,The bike accelerates smoothly.,1
Decelerate,The bike slows down.,1
Turn left,The bike turns left.,1
Turn right,The bike turns right.,1
Horn,The horn sounds loudly.,1
Turn on headlights,The bike's headlights turn on.,1
Turn off headlights,The bike's headlights turn off.,1
Check fuel level,The fuel level is sufficient.,1
Check speed,The current speed is [speed].,1
Check mileage,The current mileage is [mileage].,1
Change gear to 1,The bike shifts to first gear.,1
Change gear to 2,The bike shifts to second gear.,1
Change gear to 3,The bike shifts to third gear.,1
Change gear to 4,The bike shifts to fourth gear.,1
Change gear to 5,The bike shifts to fifth gear.,1
Change gear to neutral,The bike is in neutral.,1
Brake,The bike comes to a sudden stop.,1
Check tire pressure,The tire pressure is within the recommended range.,1
Activate turn signals,The turn signals start blinking.,1
Deactivate turn signals,The turn signals stop blinking.,1
Check engine status,The engine is running smoothly.,1
Check battery status,The battery is in good condition.,1
Check oil level,The oil level is within the recommended range.,1
Overtake the vehicle in front,You safely overtake the vehicle in front.,1
Pull over to the side of the road,The bike comes to a stop at the side of the road.,1
Perform a U-turn,The bike makes a U-turn smoothly.,1
Navigate to [destination],You receive turn-by-turn directions to [destination].,1
Check weather forecast,The weather forecast is [weather].,1
Play music,Your favorite music starts playing.,1
Answer phone call,You answer the incoming phone call.,1
Reject phone call,You reject the incoming phone call.,1
Send a text message to [contact],You send a text message to [contact].,1
Check time,The current time is [time].,1
Take a scenic route,The navigation suggests a scenic route.,1
Activate cruise control,The bike maintains a constant speed using cruise control.,1
Deactivate cruise control,Cruise control is turned off.,1
Emergency stop,The bike comes to an emergency stop.,1
Check for nearby gas stations,The nearest gas station is [location].,1
Record a voice memo,You start recording a voice memo.,1
Activate parking mode,The bike enters parking mode.,1
Deactivate parking mode,Parking mode is turned off.,1
Perform a wheelie,Performing wheelies is unsafe and against traffic rules.,1
Perform a stoppie,Performing stoppies is unsafe and against traffic rules.,1
Check for traffic updates,There are no traffic updates at the moment.,1
Perform a burnout,Performing burnouts is unsafe and damages the tires.,1
Check rearview mirrors,Ensure a clear view of traffic behind you.,1
Activate hazard lights,Indicate an emergency situation with hazard lights.,1
Adjust side mirrors,Optimize your side mirrors for a better view.,1
Check brake fluid level,Ensure the brake fluid level is within the recommended range.,1
Perform a quick stop,Apply brakes gently for a controlled and quick stop.,1
